Trained Samples, Block Average Training Error
127000,0.163733428
127250,0.061421917
127500,0.051283523
127750,0.053282254
128000,0.092177023
128250,0.060662836
128500,0.085182014
128750,0.147926573
129000,0.101354927
129250,0.076137341
129500,0.111354921
129750,0.081144507
130000,0.04388708
130250,0.13614523
130500,0.120067937
130750,0.084605571
131000,0.114308713
131250,0.065663376
131500,0.058817455
131750,0.079623066
132000,0.08783108
132250,0.104741623
132500,0.101879334
132750,0.096570951
133000,0.042437545
133250,0.026803893
133500,0.033560031
133750,0.087117249
134000,0.066644424
134250,0.049766071
134500,0.156171473
134750,0.054314113
135000,0.133827794
135250,0.072936412
135500,0.036329177
135750,0.089818498
136000,0.097182104
136250,0.123695272
136500,0.097416948
136750,0.084075975
137000,0.080128001
137250,0.092665134
137500,0.093996899
137750,0.141584278
138000,0.053325769
138250,0.112685483
138500,0.063444479
138750,0.082630987
139000,0.046497298
139250,0.152091427
139500,0.045576015
139750,0.110983236
140000,0.17570077
140250,0.080057599
140500,0.070516937
140750,0.158998994
141000,0.106691001
141250,0.099758207
141500,0.044731343
141750,0.083174198
142000,0.047904177
142250,0.084242579
142500,0.093740268
142750,0.092305322
143000,0.094004678
143250,0.040196736
143500,0.055011104
143750,0.140597026
144000,0.09121365
144250,0.055604745
144500,0.036773153
144750,0.091452837
145000,0.089862493
145250,0.097593455
145500,0.077192671
145750,0.092747554
146000,0.16496072
146250,0.077994664
146500,0.091728177
146750,0.188003039
147000,0.081937622
147250,0.183618337
147500,0.050723215
147750,0.055698565
148000,0.114339747
148250,0.030666506
148500,0.13232675
148750,0.080976115
149000,0.079830606
149250,0.210539182
149500,0.082596744
149750,0.027811428
150000,0.142605836
150250,0.180322118
150500,0.111365702
150750,0.127048022
151000,0.140977864
151250,0.101210481
151500,0.083761089
151750,0.078469073
152000,0.051287165
152250,0.031704955
152500,0.123756504
152750,0.184674013
153000,0.080382188
153250,0.032002742
153500,0.124730968
153750,0.049169353
154000,0.092354069
154250,0.104049776
154500,0.125653944
154750,0.049842988
155000,0.15700686
155250,0.083184674
155500,0.098314882
155750,0.116729886
156000,0.111056586
156250,0.125903281
156500,0.043029431
156750,0.102108267
157000,0.079083759
157250,0.126073442
157500,0.074792081
157750,0.056149768
158000,0.093757159
158250,0.12441492
158500,0.058712696
158750,0.124656752
159000,0.119003278
159250,0.071678642
159500,0.124683567
159750,0.048927806
160000,0.067290412
160250,0.066287193
160500,0.083598642
160750,0.088853639
161000,0.068345998
161250,0.068137702
161500,0.105343751
161750,0.107068652
162000,0.032764922
162250,0.14201677
162500,0.077154392
162750,0.095965641
163000,0.105256085
163250,0.067459013
163500,0.063051747
163750,0.198507972
164000,0.060380891
164250,0.066609882
164500,0.146657473
164750,0.047924722
165000,0.103685792
165250,0.195188107
165500,0.062286879
165750,0.12180192
166000,0.115849696
166250,0.107829024
166500,0.087967442
166750,0.13022531
167000,0.047337713
167250,0.070687193
167500,0.076139339
167750,0.078128823
168000,0.162378099
168250,0.058971041
168500,0.06804738
168750,0.064134909
169000,0.111992525
169250,0.089422445
169500,0.104205215
169750,0.141737159
170000,0.071642588
170250,0.071117061
170500,0.149054321
170750,0.12172975
171000,0.052420578
171250,0.063488474
171500,0.073933333
171750,0.075214036
172000,0.118528626
172250,0.122971552
172500,0.06915794
172750,0.110544722
173000,0.137576628
173250,0.128242598
173500,0.048296254
173750,0.065825959
174000,0.154920994
174250,0.122505372
174500,0.0235316
174750,0.066417084
175000,0.154576618
175250,0.077254081
175500,0.098145025
175750,0.072379209
176000,0.154647845
176250,0.051074793
176500,0.109933383
176750,0.134745066
177000,0.097763194
177250,0.066094004
177500,0.084188988
177750,0.220909667
178000,0.078253731
178250,0.10853957
178500,0.038611672
178750,0.104758118
179000,0.066809927
179250,0.140258495
179500,0.068930862
179750,0.197888036
180000,0.147401803
180250,0.078235157
180500,0.068898375
180750,0.074016335
181000,0.103165753
181250,0.059431326
181500,0.043262487
181750,0.042528888
182000,0.046442685
182250,0.040906949
182500,0.092191484
182750,0.11610655
183000,0.088264917
183250,0.143303539
183500,0.07435019
183750,0.100914898
184000,0.089935618
184250,0.050829006
184500,0.078477375
184750,0.089312087
185000,0.0705816
185250,0.131933595
185500,0.033868122
185750,0.032088651
186000,0.028096321
186250,0.150848122
186500,0.116144394
186750,0.042542899
187000,0.124881236
187250,0.042147883
187500,0.068030662
187750,0.079205548
188000,0.047166435
188250,0.054134798
188500,0.041599122
188750,0.155519069
189000,0.148743715
189250,0.048041121
189500,0.081482251
189750,0.111402224
190000,0.033540585
190250,0.147771542
190500,0.116886565
190750,0.084170225
191000,0.076699463
191250,0.068221195
191500,0.049757838
191750,0.145065498
192000,0.083041377
192250,0.132193753
192500,0.08877824
192750,0.102267542
193000,0.095719651
193250,0.045359563
193500,0.053316438
193750,0.065404674
194000,0.09127788
194250,0.070532688
194500,0.120211603
194750,0.067200771
195000,0.135986921
195250,0.092979173
195500,0.047213003
195750,0.064627132
196000,0.07399088
196250,0.125299311
196500,0.139492762
196750,0.063446724
197000,0.066722265
197250,0.03953176
197500,0.119709653
197750,0.074933201
198000,0.043953085
198250,0.072827444
198500,0.11412377
198750,0.123100487
199000,0.046141828
199250,0.118032429
199500,0.028982554
199750,0.031548354
200000,0.086184985
200250,0.061726326
200500,0.099572389
200750,0.131222848
201000,0.141273298
201250,0.061499713
201500,0.088759851
201750,0.096991314
202000,0.071234555
202250,0.043839062
202500,0.049113494
202750,0.051041604
203000,0.070905433
203250,0.11960906
203500,0.0611746
203750,0.115291869
204000,0.103651987
204250,0.076730933
204500,0.055189582
204750,0.066899594
205000,0.056903849
205250,0.060179746
205500,0.049710468
205750,0.113240038
206000,0.101896523
206250,0.028915533
206500,0.045333887
206750,0.232705922
207000,0.056754911
207250,0.20838165
207500,0.077702656
207750,0.033503045
208000,0.07694704
208250,0.068620488
208500,0.098072175
208750,0.124751429
209000,0.125442505
209250,0.111836532
209500,0.140691472
209750,0.02639294
210000,0.073586508
210250,0.14045907
210500,0.178107828
210750,0.078065515
211000,0.122542957
211250,0.06958259
211500,0.094857727
211750,0.140329151
212000,0.051019658
212250,0.015546591
212500,0.094029863
212750,0.117993823
213000,0.064467744
213250,0.045193112
213500,0.079440496
213750,0.076219722
214000,0.137068228
214250,0.123059953
214500,0.063932642
214750,0.062372934
215000,0.102363365
215250,0.11210798
215500,0.101768664
215750,0.111212431
216000,0.099652371
216250,0.114802786
216500,0.127494673
216750,0.085135435
217000,0.064286635
