Trained Samples, Block Average Training Error
99750,0.151642402
100000,0.105598621
100250,0.154711789
100500,0.187158241
100750,0.237473487
101000,0.180159725
101250,0.158182529
101500,0.204234772
101750,0.107081215
102000,0.128727231
102250,0.158721136
102500,0.111599179
102750,0.123146883
103000,0.178727086
103250,0.184713191
103500,0.112373722
103750,0.126498156
104000,0.091587492
104250,0.175252018
104500,0.130366853
104750,0.10326129
105000,0.093413453
105250,0.100976557
105500,0.086147398
105750,0.175119529
106000,0.193063955
106250,0.212953057
106500,0.215179785
106750,0.120767003
107000,0.133467939
107250,0.20609954
107500,0.192429236
107750,0.126728274
108000,0.126233831
108250,0.178533954
108500,0.107644626
108750,0.103507085
109000,0.095947525
109250,0.184632392
109500,0.139853163
109750,0.288155214
110000,0.087229509
110250,0.214992258
110500,0.18445717
110750,0.145116986
111000,0.131567426
111250,0.126787429
111500,0.064156603
111750,0.138136173
112000,0.171856091
112250,0.221658701
112500,0.092114671
112750,0.15765662
113000,0.236688861
113250,0.092353722
113500,0.097325693
113750,0.162589201
114000,0.172980468
114250,0.084823078
114500,0.101542809
114750,0.145850213
115000,0.183161333
115250,0.093797511
115500,0.201589326
115750,0.109530159
116000,0.140326503
116250,0.126352236
116500,0.11269833
116750,0.074792168
117000,0.136590019
117250,0.100208798
117500,0.128879401
117750,0.113555405
118000,0.09513796
118250,0.059841504
118500,0.125932508
118750,0.093834857
119000,0.101582298
119250,0.09118748
119500,0.141856268
119750,0.100866116
120000,0.079201191
120250,0.154668778
120500,0.148408612
120750,0.15877565
121000,0.121369528
121250,0.19872035
121500,0.107634273
121750,0.098227167
122000,0.12162021
122250,0.130096164
122500,0.101749431
122750,0.146471454
123000,0.136347765
123250,0.13631367
123500,0.068198315
123750,0.186741532
124000,0.080718139
124250,0.129270945
124500,0.149556837
124750,0.153015478
125000,0.206253559
125250,0.14473629
125500,0.098660136
125750,0.191111983
126000,0.159908831
126250,0.129878856
126500,0.155258911
126750,0.181718707
127000,0.108532284
127250,0.159623692
127500,0.126403533
127750,0.064535256
128000,0.141690796
128250,0.148775319
128500,0.117321195
128750,0.1538144
129000,0.202148246
129250,0.108223936
129500,0.173411
129750,0.100851195
130000,0.125687428
130250,0.139342741
130500,0.132137445
130750,0.126337123
131000,0.117273734
131250,0.159488414
131500,0.075338658
131750,0.128381045
132000,0.152656309
132250,0.169446627
132500,0.11461264
132750,0.20405747
133000,0.132724526
133250,0.140090723
133500,0.157360367
133750,0.20543356
134000,0.123455284
134250,0.163073626
134500,0.124316088
134750,0.103266128
135000,0.099171767
135250,0.083430691
135500,0.185083141
135750,0.111717271
136000,0.111550266
136250,0.141972282
136500,0.100967481
136750,0.134200288
137000,0.146825682
137250,0.143316186
137500,0.084064765
137750,0.071271747
138000,0.179363972
138250,0.202841147
138500,0.150045303
138750,0.110204397
139000,0.070797284
139250,0.073825284
139500,0.127833076
139750,0.162261375
140000,0.174896864
140250,0.142335016
140500,0.135277576
140750,0.120169732
141000,0.154127054
141250,0.081078217
141500,0.108776916
141750,0.165816162
142000,0.178839454
142250,0.154550909
142500,0.079128897
142750,0.193911928
143000,0.083743545
143250,0.111647938
143500,0.090283256
143750,0.199680455
144000,0.145855431
144250,0.08248309
144500,0.131890593
144750,0.094903564
145000,0.107394569
145250,0.124637497
145500,0.09036644
145750,0.065238184
